customer_unique_id,recency,T,frequency,monetary_value,predicted_purchases_6m,expected_avg_profit,CLV_6M
00053a61a98854899e70ed204dd4bafe,1e-06,182.000001,2,419.18,1.8240525775295478e-18,421.0741502424147,7.438968781488289e-16
000de6019bb59f34c099a907c151d855,1e-06,376.000001,2,257.44,2.00546557875532e-19,260.69082473655646,5.057581025737407e-17
000fbf0473c10fc1ab6f8d2d286ce20c,1e-06,34.000001,4,362.38,7.927206878025284e-31,363.57028626962443,2.8059582698289773e-28
001147e649a7b1afd577e873841632dd,1e-06,362.000001,2,212.16,2.254501734689955e-19,215.79063320134398,4.706590358555666e-17
0015752e079902b12cd00b9b7596276b,1e-06,26.000001,2,74.82,4.577264629479114e-16,79.60264058990236,3.548669109351249e-14
001926cef41060fae572e2e7b30bd2a4,1e-06,377.000001,2,91.21,1.9890895337196286e-19,95.855161333324,1.844464295333182e-17
001928b561575b2821c92254a2327d06,1e-06,4.000001,2,164.81,5.727030840316568e-14,168.8378048181216,9.471219094681201e-12
0025795df7a7d077c4c90162fa820085,1e-06,36.000001,2,214.08,1.8941776307076395e-16,217.6945282487735,4.011712965489188e-14
00293787e2aec37a9c253b63fdfe2049,1e-06,306.000001,2,257.87,3.778814680829907e-19,261.11721789822036,9.548077151706882e-17
002ae492472e45ad6ebeb7a625409392,1e-06,324.000001,2,218.66,3.171219825733282e-19,222.23611122649595,6.819145137148008e-17
0035029989e6fc5cf030918a5f9f2037,1e-06,109.000001,2,546.12,8.296467884421376e-18,546.9493780136131,4.400125444888316e-15
003e2af81ea3c72fbdd093f07724a4de,1e-06,134.000001,2,63.74,4.5296428635680995e-18,68.61557958702795,3.0122601125668426e-16
004177f7bf62929186b32c7fdaa6157b,1e-06,313.000001,2,433.98,3.525742906511701e-19,435.7500078996838,1.4866149856953758e-16
004288347e5e88a27ded2bb23747066c,170.000001,398.000001,2,177.185,0.2144699564837446,181.1090033660071,37.57242592161016
0049db44bfd6cee26ac9c649329ff6ea,1e-06,540.000001,2,109.04,6.517425183929484e-20,113.53560336231779,7.155393955860804e-18
004f84d065096f3cedd26cf0adc80b9d,1e-06,125.000001,2,189.08,5.557630097147304e-18,192.9042281520352,1.039223012726969e-15
00504b68faa074d0f40adcb4f7727f71,1e-06,17.000001,2,198.7,1.4168651020999519e-15,202.44353562926008,2.797560500634092e-13
005754cb59f8ee5cdbb5cda9d138757e,1e-06,39.000001,2,258.38,1.5209818498609692e-16,261.6229400201938,3.870324274435226e-14
